SCHOOL_KEY,NETWORK,GOVERNANCE,ANNUAL_REGIONAL_ANALYSIS_REGION,COMMUNITY,REGION_ENCODED
1,,,,,0
2,,District,,,0
3,,,,,0
5,TASSEL,District,,,0
18,,,,,0
25,,,,,0
54,,,,,0
55,,,,,0
67,,,,,0
121,,,,,0
122,,,,,0
147,,,,,0
166,,,,,0
169,,,,,0
194,,,,,0
204,,,,,0
232,,,,,0
248,,,,,0
289,,,,,0
290,,,,,0
368,,,,,0
376,,,,,0
385,,,,,0
388,,,,,0
396,,,,,0
402,,,,,0
407,,,,,0
414,,,,,0
418,,,,,0
422,,,,,0
439,,,,,0
466,,,,,0
479,,,,,0
545,,,,,0
553,Charter,Charter,Greater Midway,GARFIELD RIDGE,9
555,Charter,Charter,West Side,EAST GARFIELD PARK,2
557,Charter,Charter,Greater Milwaukee Avenue,AVONDALE,13
559,Charter,Charter,Northwest Side,ALBANY PARK,4
563,Charter,Charter,West Side,AUSTIN,2
564,Contract,Contract,Greater Milwaukee Avenue,WEST TOWN,13
565,Charter,Charter,Greater Stony Island,AVALON PARK,7
566,Charter,Charter,South Side,NEW CITY,1
567,Charter,Charter,Greater Milwaukee Avenue,LOGAN SQUARE,13
568,Charter,Charter,South Side,WASHINGTON HEIGHTS,1
569,Charter,Charter,Northwest Side,IRVING PARK,4
570,Charter,Charter,Greater Calumet,WEST PULLMAN,8
571,Charter,Charter,Bronzeville / South Lakefront,WASHINGTON PARK,6
572,Charter,Charter,Far Northwest Side,BELMONT CRAGIN,5
573,Charter,Charter,South Side,ASHBURN,1
574,Charter,Charter,South Side,AUBURN GRESHAM,1
575,Charter,Charter,South Side,WASHINGTON HEIGHTS,1
576,Charter,Charter,Northwest Side,NORTH PARK,4
577,Charter,Charter,North Lakefront,ROGERS PARK,3
578,Charter,Charter,,,0
581,Charter,Charter,Greater Milwaukee Avenue,WEST TOWN,13
582,Charter,Charter,,,0
585,Contract,Contract,,,0
586,Charter,Charter,West Side,NORTH LAWNDALE,2
588,Charter,Charter,West Side,NORTH LAWNDALE,2
589,Charter,Charter,West Side,EAST GARFIELD PARK,2
590,Charter,Charter,West Side,EAST GARFIELD PARK,2
591,Charter,Charter,West Side,NORTH LAWNDALE,2
592,Charter,Charter,Greater Stockyards,MCKINLEY PARK,10
593,Charter,Charter,Greater Milwaukee Avenue,WEST TOWN,13
594,Charter,Charter,Greater Stony Island,GREATER GRAND CROSSING,7
595,Charter,Charter,Greater Milwaukee Avenue,WEST TOWN,13
596,Charter,Charter,Far Northwest Side,HERMOSA,5
597,Charter,Charter,Greater Milwaukee Avenue,WEST TOWN,13
598,Charter,Charter,West Side,HUMBOLDT PARK,2
599,Charter,Charter,Near West Side,NEAR WEST SIDE,12
600,Charter,Charter,West Side,NORTH LAWNDALE,2
601,Charter,Charter,West Side,NORTH LAWNDALE,2
602,Charter,Charter,North Lakefront,EDGEWATER,3
603,Charter,Charter,South Side,CHATHAM,1
604,Charter,Charter,South Side,CHATHAM,1
605,Charter,Charter,Central Area,NEAR SOUTH SIDE,0
606,Charter,Charter,Bronzeville / South Lakefront,DOUGLAS,6
608,Contract,Contract,West Side,AUSTIN,2
609,Charter,Charter,West Side,HUMBOLDT PARK,2
611,Charter,Charter,South Side,WEST ENGLEWOOD,1
615,Charter,Charter,Bronzeville / South Lakefront,OAKLAND,6
616,Charter,Charter,Bronzeville / South Lakefront,KENWOOD,6
617,Charter,Charter,Bronzeville / South Lakefront,WOODLAWN,6
619,Charter,Charter,Greater Midway,ARCHER HEIGHTS,9
620,Charter,Charter,Greater Midway,ARCHER HEIGHTS,9
621,Charter,Charter,Pilsen / Little Village,LOWER WEST SIDE,11
622,Charter,Charter,Northwest Side,AVONDALE,4
623,Charter,Charter,Pilsen / Little Village,SOUTH LAWNDALE,11
624,Charter,Charter,Greater Midway,GAGE PARK,9
625,Charter,Charter,Greater Midway,ARCHER HEIGHTS,9
626,Charter,Charter,South Side,ENGLEWOOD,1
628,Charter,Charter,Greater Stockyards,BRIGHTON PARK,10
630,Contract,Contract,Near West Side,NEAR WEST SIDE,12
631,Charter,Charter,Greater Calumet,RIVERDALE,8
633,Charter,Charter,Greater Stony Island,SOUTH CHICAGO,7
635,Charter,Charter,Greater Milwaukee Avenue,WEST TOWN,13
636,Charter,Charter,Near West Side,NEAR WEST SIDE,12
637,Charter,Charter,Central Area,LOOP,0
639,Charter,Charter,Greater Stockyards,BRIGHTON PARK,10
642,Charter,Charter,Pilsen / Little Village,LOWER WEST SIDE,11
643,Charter,Charter,Bronzeville / South Lakefront,DOUGLAS,6
644,Charter,Charter,South Side,ENGLEWOOD,1
645,Charter,Charter,Greater Stony Island,SOUTH CHICAGO,7
648,Charter,Charter,South Side,AUBURN GRESHAM,1
649,Charter,Charter,Greater Midway,GAGE PARK,9
650,Charter,Charter,,,0
651,Charter,Charter,Greater Milwaukee Avenue,WEST TOWN,13
652,Charter,Charter,Greater Midway,CHICAGO LAWN,9
653,Charter,Charter,South Side,WEST ENGLEWOOD,1
654,Charter,Charter,South Side,AUBURN GRESHAM,1
655,Charter,Charter,West Side,NORTH LAWNDALE,2
656,Charter,Charter,West Side,WEST GARFIELD PARK,2
657,Charter,Charter,Far Northwest Side,BELMONT CRAGIN,5
658,Charter,Charter,Northwest Side,WEST RIDGE,4
660,Options,Charter,West Side,AUSTIN,2
661,Options,Charter,Bronzeville / South Lakefront,DOUGLAS,6
662,Options,Charter,Greater Milwaukee Avenue,AVONDALE,13
663,Options,Charter,Greater Milwaukee Avenue,HUMBOLDT PARK,13
664,Options,Charter,,,0
665,Options,Charter,West Side,NORTH LAWNDALE,2
666,Options,Charter,Bronzeville / South Lakefront,GREATER GRAND CROSSING,6
667,Options,Charter,South Side,AUBURN GRESHAM,1
668,Options,Charter,Greater Milwaukee Avenue,WEST TOWN,13
670,Options,Charter,Central Area,LOOP,0
671,Options,Charter,,,0
672,Options,Charter,Pilsen / Little Village,SOUTH LAWNDALE,11
673,Options,Charter,Greater Calumet,PULLMAN,8
674,Options,Contract,,,0
675,Options,Charter,Greater Stony Island,AVALON PARK,7
677,Options,Charter,North Lakefront,UPTOWN,3
679,Options,Charter,West Side,HUMBOLDT PARK,2
680,Options,Charter,West Side,AUSTIN,2
681,Options,Charter,Greater Midway,ARCHER HEIGHTS,9
682,Charter,Charter,West Side,AUSTIN,2
683,Options,Contract,Greater Calumet,MORGAN PARK,8
685,Charter,Charter,Greater Midway,GAGE PARK,9
686,Options,Charter,Greater Stony Island,CHATHAM,7
687,Charter,Charter,West Side,EAST GARFIELD PARK,2
689,Charter,Charter,Greater Stockyards,BRIGHTON PARK,10
692,Charter,Charter,Greater Calumet,PULLMAN,8
693,Charter,Charter,Greater Stony Island,SOUTH CHICAGO,7
695,Charter,Charter,Far Northwest Side,BELMONT CRAGIN,5
697,Charter,Charter,Greater Calumet,WEST PULLMAN,8
698,Charter,Charter,Far Northwest Side,IRVING PARK,5
699,Charter,Charter,South Side,ENGLEWOOD,1
700,Options,Charter,Pilsen / Little Village,LOWER WEST SIDE,11
701,Charter,Charter,West Side,EAST GARFIELD PARK,2
703,Charter,Charter,Greater Midway,GAGE PARK,9
704,Charter,Charter,Greater Stony Island,SOUTH CHICAGO,7
705,Charter,Charter,Far Northwest Side,BELMONT CRAGIN,5
706,Charter,Charter,Greater Lincoln Park,NEAR NORTH SIDE,14
707,Charter,Charter,,,0
708,Charter,Charter,Greater Milwaukee Avenue,AVONDALE,13
709,Options,ALOP,Greater Stockyards,BRIGHTON PARK,10
711,Options,Contract,Greater Stony Island,SOUTH SHORE,7
712,Options,Contract,Greater Midway,CHICAGO LAWN,9
714,Charter,Charter,West Side,AUSTIN,2
715,Charter,Charter,Greater Stockyards,BRIGHTON PARK,10
716,Charter,Charter,West Side,HUMBOLDT PARK,2
717,Charter,Charter,Greater Stony Island,SOUTH SHORE,7
718,Charter,Charter,Greater Midway,CHICAGO LAWN,9
1002,Network 17,District,Greater Stony Island,AVALON PARK,7
1004,Network 17,District,Bronzeville / South Lakefront,DOUGLAS,6
1005,Network 15,District,Central Area,LOOP,0
1006,Network 15,District,Far Northwest Side,BELMONT CRAGIN,5
1007,Network 15,District,Central Area,NEAR NORTH SIDE,0
1009,Network 16,District,South Side,NEW CITY,1
1012,Network 15,District,West Side,HUMBOLDT PARK,2
1013,Network 17,District,South Side,CHATHAM,1
1014,Network 15,District,West Side,HUMBOLDT PARK,2
1015,Network 15,District,Greater Midway,CLEARING,9
1016,Network 14,District,Northwest Side,LINCOLN SQUARE,4
1018,Network 16,District,Greater Midway,ASHBURN,9
1023,Network 16,District,Pilsen / Little Village,SOUTH LAWNDALE,11
1024,Network 17,District,Greater Calumet,ROSELAND,8
1027,Network 14,District,Far Northwest Side,PORTAGE PARK,5
1028,Network 16,District,Greater Midway,GAGE PARK,9
1029,Network 17,District,Greater Stony Island,ROSELAND,7
1030,Network 16,District,,,0
1031,Network 17,District,Greater Stony Island,GREATER GRAND CROSSING,7
1032,Network 17,District,Bronzeville / South Lakefront,WOODLAWN,6
1033,Network 16,District,Greater Stockyards,BRIGHTON PARK,10
1034,Network 14,District,Far Northwest Side,HERMOSA,5
1035,Network 16,District,Greater Midway,GARFIELD RIDGE,9
1036,Network 14,District,North Lakefront,LAKE VIEW,3
1037,Network 14,District,Northwest Side,NORTH CENTER,4
1039,Network 15,District,West Side,EAST GARFIELD PARK,2
1040,Network 15,District,West Side,EAST GARFIELD PARK,2
1041,Network 14,District,Northwest Side,WEST RIDGE,4
1042,Network 16,District,Far Southwest Side,MORGAN PARK,0
1043,ISP,District,Greater Calumet,ROSELAND,8
1044,Network 17,District,Bronzeville / South Lakefront,DOUGLAS,6
1045,Network 14,District,Northwest Side,ALBANY PARK,4
1046,Network 14,District,Far Northwest Side,IRVING PARK,5
1047,Network 14,District,North Lakefront,EDGEWATER,3
1048,Network 14,District,Far Northwest Side,BELMONT CRAGIN,5
1049,Network 14,District,North Lakefront,ROGERS PARK,3
1050,Network 14,District,Far Northwest Side,NORWOOD PARK,5
1051,Network 16,District,Greater Stockyards,NEW CITY,10
1053,Network 14,District,Northwest Side,NORTH PARK,4
1054,Network 14,District,Greater Lincoln Park,LINCOLN PARK,14
1055,Network 17,District,Greater Calumet,EAST SIDE,8
1056,Network 15,District,Greater Milwaukee Avenue,WEST TOWN,13
1057,Network 16,District,Greater Midway,WEST LAWN,9
1060,Network 14,District,Northwest Side,NORTH PARK,4
1061,Network 16,District,South Side,WEST ENGLEWOOD,1
1062,Network 17,District,Bronzeville / South Lakefront,KENWOOD,6
1064,Options,District,Pilsen / Little Village,SOUTH LAWNDALE,11
1065,Network 14,District,Northwest Side,NORTH PARK,4
1066,Options,District,Near West Side,NEAR WEST SIDE,12
1067,Network 17,District,Bronzeville / South Lakefront,KENWOOD,6
1068,ISP,District,Far Southwest Side,MOUNT GREENWOOD,0
1069,Network 17,District,Bronzeville / South Lakefront,DOUGLAS,6
1070,Network 15,District,Near West Side,NEAR WEST SIDE,12
1071,Network 15,District,Greater Midway,ARCHER HEIGHTS,9
1072,Network 15,District,Greater Milwaukee Avenue,WEST TOWN,13
1073,Network 17,District,Greater Calumet,RIVERDALE,8
1074,Network 17,District,Greater Calumet,PULLMAN,8
1075,Network 16,District,Greater Calumet,WASHINGTON HEIGHTS,8
1077,Network 15,District,Pilsen / Little Village,LOWER WEST SIDE,11
1079,Network 14,District,Far Northwest Side,PORTAGE PARK,5
1082,Network 14,District,Central Area,NEAR SOUTH SIDE,0
1085,Network 13,District,Greater Calumet,EAST SIDE,8
1086,Network 4,District,Greater Lincoln Park,LAKE VIEW,14
1087,Network 4,District,Greater Lincoln Park,LINCOLN PARK,14
1090,Network 6,District,Greater Stockyards,BRIDGEPORT,10
1091,ISP,District,Northwest Side,WEST RIDGE,4
1092,Network 14,District,Greater Milwaukee Avenue,LOGAN SQUARE,13
1094,Network 4,District,Northwest Side,NORTH CENTER,4
1095,Options,District,Near West Side,NEAR WEST SIDE,12
1096,Network 12,District,Greater Stony Island,AVALON PARK,7
1098,Network 10,District,Far Southwest Side,BEVERLY,0
1099,Network 4,District,Far Northwest Side,HERMOSA,5
1100,Network 11,District,South Side,AUBURN GRESHAM,1
1101,Network 11,District,South Side,ENGLEWOOD,1
1102,Network 1,District,Northwest Side,IRVING PARK,4
1103,Network 11,District,South Side,ENGLEWOOD,1
1104,Network 1,District,Northwest Side,ALBANY PARK,4
1105,ISP,District,West Side,AUSTIN,2
1106,Network 1,District,Far Northwest Side,JEFFERSON PARK,5
1107,Network 5,District,West Side,EAST GARFIELD PARK,2
1108,Network 1,District,Northwest Side,IRVING PARK,4
1109,Network 4,District,Northwest Side,NORTH CENTER,4
1110,Network 13,District,Greater Calumet,ROSELAND,8
1111,Network 4,District,Greater Lincoln Park,LAKE VIEW,14
1112,Network 2,District,Northwest Side,WEST RIDGE,4
1113,Network 11,District,South Side,AUBURN GRESHAM,1
1114,Network 12,District,Greater Stony Island,SOUTH SHORE,7
1115,Network 10,District,Greater Midway,ASHBURN,9
1116,Network 13,District,Greater Calumet,ROSELAND,8
1117,Network 4,District,Greater Milwaukee Avenue,LOGAN SQUARE,13
1118,Network 1,District,Far Northwest Side,DUNNING,5
1119,Network 13,District,Greater Calumet,SOUTH DEERING,8
1120,Network 6,District,Near West Side,NEAR WEST SIDE,12
1121,Network 12,District,Greater Stony Island,GREATER GRAND CROSSING,7
1122,Network 12,District,Greater Stony Island,SOUTH SHORE,7
1123,ISP,District,Northwest Side,LINCOLN SQUARE,4
1124,Network 3,District,Far Northwest Side,BELMONT CRAGIN,5
1125,Network 9,District,Bronzeville / South Lakefront,WASHINGTON PARK,6
1126,Network 4,District,Greater Lincoln Park,LAKE VIEW,14
1127,Network 13,District,Greater Stony Island,SOUTH DEERING,7
1130,Network 12,District,Greater Stony Island,CHATHAM,7
1131,Network 6,District,Greater Milwaukee Avenue,WEST TOWN,13
1132,Network 8,District,Greater Stockyards,BRIGHTON PARK,10
1133,Network 3,District,West Side,AUSTIN,2
1134,Network 10,District,Greater Midway,GARFIELD RIDGE,9
1135,ISP,District,Greater Stony Island,AVALON PARK,7
1136,ISP,District,Pilsen / Little Village,SOUTH LAWNDALE,11
1137,Network 5,District,West Side,HUMBOLDT PARK,2
1138,Network 1,District,Far Northwest Side,DUNNING,5
1139,Network 9,District,Bronzeville / South Lakefront,WOODLAWN,6
1141,Network 10,District,South Side,ASHBURN,1
1142,ISP,District,Greater Midway,GAGE PARK,9
1143,Network 9,District,Bronzeville / South Lakefront,WASHINGTON PARK,6
1144,Network 13,District,Greater Calumet,RIVERDALE,8
1146,Network 13,District,Greater Calumet,RIVERDALE,8
1147,ISP,District,Far Southwest Side,MOUNT GREENWOOD,0
1148,Network 4,District,Greater Lincoln Park,LAKE VIEW,14
1149,Network 5,District,West Side,NORTH LAWNDALE,2
1150,Network 2,District,Northwest Side,LINCOLN SQUARE,4
1151,Network 4,District,Greater Milwaukee Avenue,LOGAN SQUARE,13
1152,Network 5,District,Greater Milwaukee Avenue,WEST TOWN,13
1153,Network 8,District,Greater Midway,GAGE PARK,9
1154,Network 13,District,Greater Calumet,HEGEWISCH,8
1155,Network 1,District,Northwest Side,IRVING PARK,4
1156,ISP,District,Northwest Side,WEST RIDGE,4
